30.04.1991;5,75
06.08.1991;5,50
13.09.1991;5,25
31.10.1991;5,00
06.11.1991;4,75
06.12.1991;4,50
20.12.1991;4,00
09.04.1992;3,75
02.07.1992;3,25
04.09.1992;3,00
04.02.1994;3,25
22.03.1994;3,50
18.04.1994;3,75
17.05.1994;4,25
16.08.1994;4,75
15.11.1994;5,50
01.02.1995;6,00
06.07.1995;5,75
19.12.1995;5,50
31.01.1996;5,25
25.03.1997;5,50
29.09.1998;5,25
15.10.1998;5,00
17.11.1998;4,75
30.06.1999;5,00
24.08.1999;5,25
16.11.1999;5,50
02.02.2000;5,75
21.03.2000;6,00
16.05.2000;6,50
03.01.2001;6,00
31.01.2001;5,50
20.03.2001;5,00
18.04.2001;4,50
15.05.2001;4,00
27.06.2001;3,75
21.08.2001;3,50
17.09.2001;3,00
02.10.2001;2,50
06.11.2001;2,00
11.12.2001;1,75
06.11.2002;1,25
25.06.2003;1,00
30.06.2004;1,25
10.08.2004;1,50
21.09.2004;1,75
10.11.2004;2,00
14.12.2004;2,25
02.02.2005;2,50
22.03.2005;2,75
03.05.2005;3,00
30.06.2005;3,25
09.08.2005;3,50
20.09.2005;3,75
01.11.2005;4,00
13.12.2005;4,25
31.01.2006;4,50
28.03.2006;4,75
10.05.2006;5,00
29.06.2006;5,25
18.09.2007;4,75
31.10.2007;4,50
11.12.2007;4,25
22.01.2008;3,50
30.01.2008;3,00
18.03.2008;2,25
30.04.2008;2,00
25.06.2008;2,00
05.08.2008;2,00
16.09.2008;2,00
08.10.2008;1,50
29.10.2008;1,00
16.12.2008;0,25
28.01.2009;0,25
18.03.2009;0,25
29.04.2009;0,25
24.06.2009;0,25
12.08.2009;0,25
23.09.2009;0,25
04.11.2009;0,25
16.12.2009;0,25
27.01.2010;0,25
16.03.2010;0,25
28.04.2010;0,25
23.06.2010;0,25
10.08.2010;0,25
21.09.2010;0,25
03.11.2010;0,25
14.12.2010;0,25
26.01.2011;0,25
15.03.2011;0,25
27.04.2011;0,25
22.06.2011;0,25
09.08.2011;0,25
21.09.2011;0,25
02.11.2011;0,25
13.12.2011;0,25
25.01.2012;0,25
13.03.2012;0,25
25.04.2012;0,25
20.06.2012;0,25
01.08.2012;0,25
13.09.2012;0,25
24.10.2012;0,25
12.12.2012;0,25
30.01.2013;0,25
20.03.2013;0,25
01.05.2013;0,25
19.06.2013;0,25
31.07.2013;0,25
18.09.2013;0,25
30.10.2013;0,25
18.12.2013;0,25
29.01.2014;0,25
19.03.2014;0,25
30.04.2014;0,25
18.06.2014;0,25
30.07.2014;0,25
17.09.2014;0,25
29.10.2014;0,25
17.12.2014;0,25
28.01.2015;0,25
18.03.2015;0,25
29.04.2015;0,25
17.06.2015;0,25
29.07.2015;0,25
17.09.2015;0,25
28.10.2015;0,25
16.12.2015;0,50
27.01.2016;0,50
16.03.2016;0,50
27.04.2016;0,50
15.06.2016;0,50
27.07.2016;0,50
21.09.2016;0,50
02.11.2016;0,50
14.12.2016;0,75
01.02.2017;0,75
15.03.2017;1,00
03.05.2017;1,00
14.06.2017;1,25
26.07.2017;1,25
20.09.2017;1,25
01.11.2017;1,25
13.12.2017;1,50
31.01.2018;1,50
21.03.2018;1,75
02.05.2018;1,75
13.06.2018;2,00
01.08.2018;2,00
26.09.2018;2,25
08.11.2018;2,25
19.12.2018;2,50
30.01.2019;2,50
20.03.2019;2,50
01.05.2019;2,50
19.06.2019;2,50
31.07.2019;2,25
18.09.2019;2,00
30.10.2019;1,75
11.12.2019;1,75
29.01.2020;1,75
03.03.2020;1,25
16.03.2020;0,25
29.04.2020;0,25
10.06.2020;0,25
29.07.2020;0,25
16.09.2020;0,25
05.11.2020;0,25
16.12.2020;0,25
27.01.2021;0,25
17.03.2021;0,25
28.04.2021;0,25
16.06.2021;0,25
28.07.2021;0,25
22.09.2021;0,25
03.11.2021;0,25
15.12.2021;0,25
26.01.2022;0,25
16.03.2022;0,50
04.05.2022;1,00
15.06.2022;1,75
27.07.2022;2,50
21.09.2022;3,25
02.11.2022;4,00
14.12.2022;4,50
01.02.2023;4,75
